mision, action, DateTime, org:resource, randomSeed 
mision 10,T_21_Busy,2023-09-16 17:21:26,14,50
mision 10,T_21_Done,2023-09-16 17:21:31,14,50
mision 10,T_22_Busy,2023-09-16 17:22:30,2,50
mision 10,T_22_Done,2023-09-16 17:22:35,2,50
mision 10,T_23_Busy,2023-09-16 17:22:39,1,50
mision 10,T_23_Done,2023-09-16 17:22:44,1,50
mision 10,T_26_ocupied,2023-09-16 17:23:14,4,50
mision 10,T_26_waiting,2023-09-16 17:23:14,4,50
mision 10,T_25_ocupied,2023-09-16 17:23:22,1,50
mision 10,T_25_waiting,2023-09-16 17:23:22,1,50
mision 10,T_31_ocupied,2023-09-16 17:23:50,19,50
mision 10,T_31_waiting,2023-09-16 17:23:50,19,50
mision 10,T_31_Busy,2023-09-16 17:23:50,19,50
mision 10,T_25_Busy,2023-09-16 17:23:50,1,50
mision 10,T_26_Busy,2023-09-16 17:23:50,4,50
mision 10,T_31_Done,2023-09-16 17:23:55,19,50
mision 10,T_25_Done,2023-09-16 17:23:55,1,50
mision 10,T_26_Done,2023-09-16 17:23:55,4,50
mision 11,T_21_Busy,2023-09-16 17:24:43,4,50
mision 11,T_21_rebooting,2023-09-16 17:24:51,4,50
mision 11,T_21_Busy,2023-09-16 17:25:00,4,50
mision 11,T_21_rebooting,2023-09-16 17:25:07,4,50
mision 11,T_21_Busy,2023-09-16 17:25:15,4,50
mision 11,T_21_rebooting,2023-09-16 17:25:27,4,50
mision 11,T_21_Busy,2023-09-16 17:26:19,19,50
mision 11,T_21_rebooting,2023-09-16 17:26:27,19,50
mision 11,T_21_Busy,2023-09-16 17:28:33,11,50
mision 11,T_21_Done,2023-09-16 17:28:38,11,50
mision 11,T_22_Busy,2023-09-16 17:29:34,0,50
mision 11,T_22_Done,2023-09-16 17:29:39,0,50
mision 11,T_23_Busy,2023-09-16 17:31:09,7,50
mision 11,T_23_Done,2023-09-16 17:31:14,7,50
mision 11,T_25_ocupied,2023-09-16 17:31:23,13,50
mision 11,T_25_waiting,2023-09-16 17:31:23,13,50
mision 11,T_26_ocupied,2023-09-16 17:31:55,16,50
mision 11,T_26_waiting,2023-09-16 17:31:55,16,50
mision 11,T_31_ocupied,2023-09-16 17:34:30,19,50
mision 11,T_31_waiting,2023-09-16 17:34:30,19,50
mision 11,time_out,2023-09-16 17:37:40,user,50
mision 11,time_out,2023-09-16 17:37:40,user,50
mision 11,time_out,2023-09-16 17:37:41,user,50
mision 11,time_out,2023-09-16 17:37:41,user,50
mision 12,T_21_Busy,2023-09-16 17:20:18,16,50
mision 12,T_21_rebooting,2023-09-16 17:20:27,16,50
mision 12,T_21_Busy,2023-09-16 17:22:13,15,50
mision 12,T_21_rebooting,2023-09-16 17:22:22,15,50
mision 12,T_21_Busy,2023-09-16 17:22:50,5,50
mision 12,T_21_rebooting,2023-09-16 17:22:59,5,50
mision 12,T_21_Busy,2023-09-16 17:23:38,5,50
mision 12,T_21_rebooting,2023-09-16 17:23:46,5,50
mision 12,T_21_Busy,2023-09-16 17:23:52,7,50
mision 12,T_21_rebooting,2023-09-16 17:24:01,7,50
mision 12,T_21_Busy,2023-09-16 17:24:41,4,50
mision 12,T_21_rebooting,2023-09-16 17:24:50,4,50
mision 12,T_21_Busy,2023-09-16 17:24:59,4,50
mision 12,T_21_rebooting,2023-09-16 17:25:07,4,50
mision 12,T_21_Busy,2023-09-16 17:26:39,10,50
mision 12,T_21_rebooting,2023-09-16 17:26:47,10,50
mision 12,T_21_Busy,2023-09-16 17:27:32,5,50
mision 12,T_21_rebooting,2023-09-16 17:27:42,5,50
mision 12,T_21_Busy,2023-09-16 17:27:50,5,50
mision 12,T_21_Done,2023-09-16 17:27:55,5,50
mision 12,T_22_Busy,2023-09-16 17:28:36,3,50
mision 12,T_22_Done,2023-09-16 17:28:41,3,50
mision 12,T_23_Busy,2023-09-16 17:29:26,0,50
mision 12,T_23_Done,2023-09-16 17:29:31,0,50
mision 12,T_25_ocupied,2023-09-16 17:29:52,1,50
mision 12,T_25_waiting,2023-09-16 17:29:52,1,50
mision 12,T_26_ocupied,2023-09-16 17:30:01,0,50
mision 12,T_26_waiting,2023-09-16 17:30:01,0,50
mision 12,T_31_ocupied,2023-09-16 17:30:51,19,50
mision 12,T_31_waiting,2023-09-16 17:30:51,19,50
mision 12,T_31_Busy,2023-09-16 17:30:51,19,50
mision 12,T_25_Busy,2023-09-16 17:30:51,1,50
mision 12,T_26_Busy,2023-09-16 17:30:51,0,50
mision 12,T_31_rebooting,2023-09-16 17:31:00,19,50
mision 12,T_25_rebooting,2023-09-16 17:31:00,1,50
mision 12,T_26_rebooting,2023-09-16 17:31:00,0,50
mision 12,T_31_ocupied,2023-09-16 17:31:08,19,50
mision 12,T_31_waiting,2023-09-16 17:31:08,19,50
mision 12,T_26_ocupied,2023-09-16 17:32:16,3,50
mision 12,T_26_waiting,2023-09-16 17:32:16,3,50
mision 12,T_25_ocupied,2023-09-16 17:32:21,17,50
mision 12,T_25_waiting,2023-09-16 17:32:21,17,50
mision 12,time_out,2023-09-16 17:33:53,user,50
mision 12,time_out,2023-09-16 17:33:53,user,50
mision 12,time_out,2023-09-16 17:33:54,user,50
mision 12,time_out,2023-09-16 17:33:54,user,50
mision 13,T_21_Busy,2023-09-16 17:21:00,4,50
mision 13,T_21_rebooting,2023-09-16 17:21:09,4,50
mision 13,T_21_Busy,2023-09-16 17:21:18,4,50
mision 13,T_21_Done,2023-09-16 17:21:23,4,50
mision 13,T_22_Busy,2023-09-16 17:21:45,15,50
mision 13,T_22_Done,2023-09-16 17:21:49,15,50
mision 13,T_23_Busy,2023-09-16 17:22:13,2,50
mision 13,T_23_Done,2023-09-16 17:22:18,2,50
mision 13,T_26_ocupied,2023-09-16 17:22:29,11,50
mision 13,T_26_waiting,2023-09-16 17:22:29,11,50
mision 13,T_31_ocupied,2023-09-16 17:23:17,1,50
mision 13,T_31_waiting,2023-09-16 17:23:17,1,50
mision 13,T_25_ocupied,2023-09-16 17:24:30,14,50
mision 13,T_25_waiting,2023-09-16 17:24:30,14,50
mision 13,time_out,2023-09-16 17:36:31,user,50
mision 13,time_out,2023-09-16 17:36:31,user,50
mision 13,time_out,2023-09-16 17:36:32,user,50
mision 13,time_out,2023-09-16 17:36:32,user,50
mision 14,T_21_Busy,2023-09-16 17:15:59,5,50
mision 14,T_21_rebooting,2023-09-16 17:16:07,5,50
mision 14,T_21_Busy,2023-09-16 17:16:16,5,50
mision 14,T_21_rebooting,2023-09-16 17:16:24,5,50
mision 14,T_21_Busy,2023-09-16 17:16:32,5,50
mision 14,T_21_rebooting,2023-09-16 17:16:41,5,50
mision 14,T_21_Busy,2023-09-16 17:16:49,5,50
mision 14,T_21_rebooting,2023-09-16 17:16:58,5,50
mision 14,T_21_Busy,2023-09-16 17:17:21,9,50
mision 14,T_21_Done,2023-09-16 17:17:26,9,50
mision 14,T_22_Busy,2023-09-16 17:17:32,2,50
mision 14,T_22_Done,2023-09-16 17:17:37,2,50
mision 14,T_23_Busy,2023-09-16 17:18:41,15,50
mision 14,T_23_Done,2023-09-16 17:18:46,15,50
mision 14,T_26_ocupied,2023-09-16 17:19:11,10,50
mision 14,T_26_waiting,2023-09-16 17:19:11,10,50
