mision;activity;time;robot
mision 16;T_4Done;2023-09-07 22:13:19;1
mision 16;T_5Busy;2023-09-07 22:13:48;0
mision 16;T_5Done;2023-09-07 22:13:53;0
mision 16;T_1ocupied;2023-09-07 22:14:07;5
mision 16;T_1waiting;2023-09-07 22:14:07;5
mision 16;T_0ocupied;2023-09-07 22:14:14;0
mision 16;T_0waiting;2023-09-07 22:14:14;0
mision 16;T_0done;2023-09-07 22:14:19;0
mision 16;T_1done;2023-09-07 22:14:19;0
mision 17;T_0Busy;2023-09-07 21:27:40;0
mision 17;T_0Done;2023-09-07 21:27:45;0
mision 17;T_1Busy;2023-09-07 21:28:16;0
mision 17;T_1Done;2023-09-07 21:28:21;0
mision 17;T_2ocupied;2023-09-07 21:28:26;1
mision 17;T_2waiting;2023-09-07 21:28:26;1
mision 17;T_3ocupied;2023-09-07 21:28:34;4
mision 17;T_3waiting;2023-09-07 21:28:34;4
mision 17;T_2done;2023-09-07 21:28:39;0
mision 17;T_3done;2023-09-07 21:28:39;0
mision 17;T_4Busy;2023-09-07 21:29:29;2
mision 17;T_4Done;2023-09-07 21:29:34;2
mision 17;T_5Busy;2023-09-07 21:30:34;5
mision 17;T_5Done;2023-09-07 21:30:39;5
mision 17;T_1ocupied;2023-09-07 21:30:48;4
mision 17;T_1waiting;2023-09-07 21:30:48;4
mision 17;T_0ocupied;2023-09-07 21:30:54;5
mision 17;T_0waiting;2023-09-07 21:30:54;5
mision 17;T_0done;2023-09-07 21:30:59;0
mision 17;T_1done;2023-09-07 21:30:59;0
mision 18;T_0Busy;2023-09-07 21:28:20;3
mision 18;T_0Done;2023-09-07 21:28:25;3
mision 18;T_1Busy;2023-09-07 21:28:29;2
mision 18;T_1Done;2023-09-07 21:28:33;2
mision 18;T_2ocupied;2023-09-07 21:28:46;0
mision 18;T_2waiting;2023-09-07 21:28:46;0
mision 18;T_3ocupied;2023-09-07 21:28:46;4
mision 18;T_3waiting;2023-09-07 21:28:46;4
mision 18;T_2done;2023-09-07 21:28:51;0
mision 18;T_3done;2023-09-07 21:28:51;0
mision 18;T_4Busy;2023-09-07 21:29:39;3
mision 18;T_4Done;2023-09-07 21:29:43;3
mision 18;T_5Busy;2023-09-07 21:29:54;5
mision 18;T_5Done;2023-09-07 21:29:59;5
mision 18;T_0ocupied;2023-09-07 21:30:10;1
mision 18;T_0waiting;2023-09-07 21:30:10;1
mision 18;T_1ocupied;2023-09-07 21:30:58;2
mision 18;T_1waiting;2023-09-07 21:30:58;2
mision 18;T_0done;2023-09-07 21:31:03;0
mision 18;T_1done;2023-09-07 21:31:03;0
mision 19;T_0Busy;2023-09-07 21:27:18;0
mision 19;T_0Done;2023-09-07 21:27:23;0
mision 19;T_1Busy;2023-09-07 21:27:27;2
mision 19;T_1Done;2023-09-07 21:27:32;2
mision 19;T_2ocupied;2023-09-07 21:27:40;5
mision 19;T_2waiting;2023-09-07 21:27:40;5
mision 19;T_3ocupied;2023-09-07 21:27:57;3
mision 19;T_3waiting;2023-09-07 21:27:57;3
mision 19;T_2done;2023-09-07 21:28:02;0
mision 19;T_3done;2023-09-07 21:28:02;0
