mision;activity;time;robot
mision 25;TD_task2;2023-08-25 15:33:51;4
mision 25;TC_task1;2023-08-25 15:33:55;1
mision 25;TC_task3;2023-08-25 15:33:56;4
mision 25;TD_task3;2023-08-25 15:33:56;4
mision 25;TE_enter;2023-08-25 15:34:13;3
mision 25;TE_task1;2023-08-25 15:34:18;3
mision 25;TF_enter;2023-08-25 15:35:13;5
mision 25;TF_task2;2023-08-25 15:35:18;5
mision 25;TE_task3;2023-08-25 15:35:20;2
mision 25;TF_task3;2023-08-25 15:35:20;2
mision 25;TG_enter;2023-08-25 15:35:34;0
mision 25;TG_task1;2023-08-25 15:35:39;0
mision 25;TH_enter;2023-08-25 15:35:40;4
mision 25;TH_task2;2023-08-25 15:35:45;4
mision 25;TG_task3;2023-08-25 15:35:47;1
mision 25;TH_task3;2023-08-25 15:35:47;1
mision 25;TG_task4;2023-08-25 15:35:47;4
mision 25;TH_task4;2023-08-25 15:35:47;4
mision 26;TB_enter;2023-08-25 15:33:16;1
mision 26;TB_task2;2023-08-25 15:33:21;1
mision 26;TA_enter;2023-08-25 15:33:22;4
mision 26;TA_task1;2023-08-25 15:33:27;4
mision 26;TA_task3;2023-08-25 15:33:29;1
mision 26;TB_task3;2023-08-25 15:33:29;1
mision 26;TC_enter;2023-08-25 15:33:36;5
mision 26;TC_task1;2023-08-25 15:33:40;5
mision 26;TD_enter;2023-08-25 15:34:13;3
mision 26;TD_task2;2023-08-25 15:34:18;3
mision 26;TC_task3;2023-08-25 15:34:19;0
mision 26;TD_task3;2023-08-25 15:34:19;0
mision 26;TF_enter;2023-08-25 15:34:41;1
mision 26;TF_task2;2023-08-25 15:34:46;1
mision 26;TE_enter;2023-08-25 15:35:01;4
mision 26;TE_task1;2023-08-25 15:35:06;4
mision 26;TE_task3;2023-08-25 15:35:08;1
mision 26;TF_task3;2023-08-25 15:35:08;1
mision 26;TG_enter;2023-08-25 15:35:23;3
mision 26;TG_task1;2023-08-25 15:35:28;3
mision 26;TH_enter;2023-08-25 15:36:12;5
mision 26;TH_task2;2023-08-25 15:36:17;5
mision 26;TG_task3;2023-08-25 15:36:19;2
mision 26;TH_task3;2023-08-25 15:36:19;2
mision 26;TG_task4;2023-08-25 15:36:19;5
mision 26;TH_task4;2023-08-25 15:36:19;5
mision 27;TB_enter;2023-08-25 15:32:54;4
mision 27;TB_task2;2023-08-25 15:32:59;4
mision 27;TA_enter;2023-08-25 15:33:17;0
mision 27;TA_task1;2023-08-25 15:33:22;0
mision 27;TA_task3;2023-08-25 15:33:24;3
mision 27;TB_task3;2023-08-25 15:33:24;3
mision 27;TC_enter;2023-08-25 15:33:33;1
mision 27;TC_task1;2023-08-25 15:33:38;1
mision 27;TD_enter;2023-08-25 15:34:27;3
mision 27;TD_task2;2023-08-25 15:34:32;3
mision 27;TC_task3;2023-08-25 15:34:34;0
mision 27;TD_task3;2023-08-25 15:34:34;0
mision 27;TF_enter;2023-08-25 15:34:48;4
mision 27;TF_task2;2023-08-25 15:34:53;4
mision 27;TE_enter;2023-08-25 15:36:07;0
mision 27;TE_task1;2023-08-25 15:36:12;0
mision 27;TE_task3;2023-08-25 15:36:13;3
mision 27;TF_task3;2023-08-25 15:36:13;3
mision 27;TH_enter;2023-08-25 15:36:28;5
mision 27;TG_enter;2023-08-25 15:36:30;1
mision 27;TH_task2;2023-08-25 15:36:33;5
mision 27;TG_task1;2023-08-25 15:36:35;1
mision 27;TG_task3;2023-08-25 15:36:36;4
mision 27;TH_task3;2023-08-25 15:36:36;4
mision 27;TG_task4;2023-08-25 15:36:37;1
mision 27;TH_task4;2023-08-25 15:36:37;1
mision 28;TA_enter;2023-08-25 15:33:28;2
mision 28;TB_enter;2023-08-25 15:33:29;4
mision 28;TA_task1;2023-08-25 15:33:33;2
mision 28;TB_task2;2023-08-25 15:33:34;4
mision 28;TA_task3;2023-08-25 15:33:35;1
mision 28;TB_task3;2023-08-25 15:33:35;1
mision 28;TD_enter;2023-08-25 15:33:45;3
mision 28;TD_task2;2023-08-25 15:33:49;3
mision 28;TC_enter;2023-08-25 15:33:53;5
mision 28;TC_task1;2023-08-25 15:33:58;5
mision 28;TC_task3;2023-08-25 15:33:59;2
mision 28;TD_task3;2023-08-25 15:33:59;2
mision 28;TF_enter;2023-08-25 15:34:15;4
mision 28;TF_task2;2023-08-25 15:34:20;4
mision 28;TE_enter;2023-08-25 15:34:59;0
mision 28;TE_task1;2023-08-25 15:35:03;0
mision 28;TE_task3;2023-08-25 15:35:05;3
mision 28;TF_task3;2023-08-25 15:35:05;3
mision 28;TH_enter;2023-08-25 15:35:18;2
mision 28;TG_enter;2023-08-25 15:35:20;3
mision 28;TH_task2;2023-08-25 15:35:23;2
mision 28;TG_task1;2023-08-25 15:35:25;3
mision 28;TG_task3;2023-08-25 15:35:27;0
mision 28;TH_task3;2023-08-25 15:35:27;0
mision 28;TG_task4;2023-08-25 15:35:27;3
mision 28;TH_task4;2023-08-25 15:35:27;3
mision 29;TB_enter;2023-08-25 15:32:24;0
mision 29;TB_task2;2023-08-25 15:32:29;0
mision 29;TA_enter;2023-08-25 15:32:37;2
mision 29;TA_task1;2023-08-25 15:32:42;2
mision 29;TA_task3;2023-08-25 15:32:44;5
mision 29;TB_task3;2023-08-25 15:32:44;5
mision 29;TC_enter;2023-08-25 15:32:52;1
mision 29;TC_task1;2023-08-25 15:32:57;1
mision 29;TD_enter;2023-08-25 15:33:04;5
mision 29;TD_task2;2023-08-25 15:33:09;5
mision 29;TC_task3;2023-08-25 15:33:11;2
mision 29;TD_task3;2023-08-25 15:33:11;2
mision 29;TF_enter;2023-08-25 15:33:22;4
mision 29;TF_task2;2023-08-25 15:33:27;4
mision 29;TE_enter;2023-08-25 15:33:29;0
mision 29;TE_task1;2023-08-25 15:33:34;0
mision 29;TE_task3;2023-08-25 15:33:36;3
mision 29;TF_task3;2023-08-25 15:33:36;3
mision 29;TG_enter;2023-08-25 15:33:42;3
mision 29;TG_task1;2023-08-25 15:33:47;3
mision 29;TH_enter;2023-08-25 15:33:52;5
mision 29;TH_task2;2023-08-25 15:33:58;5
